소장품번호,명칭,text_full,연결페이지
무령1,진묘수,"소장품번호: 무령1
명칭: 진묘수
이명칭: 국보 무령왕릉 석수, 武寧王陵石獸, 鎭墓獸, 석수, 石獸, 무덤을지키는상상의동물
영문명칭: Stone animal statue, Stone guardian
실측치: 높이:32.2-길이:48.6-너비:24.0
수량: 1
보관처: 기관-국립1-공주
특징: 진묘수는 입구를 향한 모습으로 연도부 중앙에서 출토되었다. 뭉툭한 주둥이에 입은 살짝 벌리고 있다. 윗 입술과 살짝 솟은 코는 마치 '山' 자 모양이다. 콧구멍 없는 큰 코의 뒤쪽으로 툭 불거진 크고 둥근 반구형 눈이 있고, 이어서 장타원형의 귀가 조각되었다. 오른쪽 귀에만 귓구멍이 표현되어 있다. 쇠로 만든 뿔이 귀뿌리 사이 중앙에 꽂혀 있다. 완만한 등에는 네 개의 돌기를 조각하였다. 앞다리 어깨 부위와 뒷다리 대퇴부에 날개 혹은 터럭을 형상화한 듯한 무늬가 양각되었다. 엉덩이에는 몸통과 이어진 꼬리가 조각되었고, 꼬리 끝에 항문을 표현한 구멍을 뚫었다. 발견 당시 오른쪽 뒷다리는 부러졌으나 현재는 접합된 상태이다. 정면을 응시하며 걷는 듯한 모습이다. 몸통의 재질은 각섬석질의 돌이다.
진묘수 표면은 녹회색이며, 암석 편이 떨어진 면은 부분적으로 암회색 혹은 암녹색을 띤다. 진묘수는 총 6가지 색으로 채색되었는데, 종류는 붉은색, 분홍색, 적갈색, 녹색, 검은색, 흰색이다. 입과 꼬리 주변에 붉은색 안료가 관찰되지만 제작 당시의 모습을 정확히 알 수는 없다.
진묘수는 무덤을 지키는 상상의 동물로 중국 후한(後漢, 25~220)부터 본격적으로 부장되었다. 침입자로부터 죽은 자를 보호하고, 죽은 이의 영혼이 하늘로 무사히 올라갈 수 있도록 돕는 역할을 한다고 믿었다. 무령왕릉에서 출토된 진묘수는 한반도 출토 사례로 유일하다. 형식적으로 뿔이 하나인 독각계(獨角系) 진묘수의 계보를 잇는 남조(南朝)의 영향을 받았다. 하지만 나무 가지형[樹枝形]으로 표현한 쇠로 된 뿔과 등에 있는 갈기 혹은 터럭의 표현, 돌에 채색을 한 점 등은 무령왕릉 진묘수만의 독특한 특징이다.
참고자료: 文化公報部 文化財管理局, 1973, 『武寧王陵 發掘調査報告書』, p.46, 圖版 8, 75-3, 90~92.
국립공주박물관, 2018, 『武寧王陵 新報告書 Ⅳ』 - 출토유물1(옥석류) -, pp.33~51, 도판 21.
국립공주박물관, 2021, 『무령왕릉 발굴 50년』1971-2021 새로운 반세기를 준비하며, pp.32~33.",https://www.emuseum.go.kr/detail?relicId=PS0100100400700000100000
무령2,묘지석(왕)/간지도,"소장품번호: 무령2
명칭: 묘지석(왕)/간지도
이명칭: 국보 무령왕릉 지석, 武寧王陵 誌石, 墓誌石(王)/干支圖, 지석, 誌石, 무령왕지석, 武寧王誌石
영문명칭: Epitaph plaque(King)/Stone tablet
실측치: 가로:41.5-세로:35.2-두께:4.7~5.0
수량: 1
보관처: 기관-국립1-공주
특징: 묘지석(왕)/간지도는 연도의 중앙에 배치된 진묘수(무령1) 앞쪽에 왕비의 묘지석/매지권(왕)(무령3)과 나란히 출토되었다. 묘실에서 밖을 향해 내다볼 때 글자가 바로 보이도록 놓았다. 전체 모형은 직사각형의 납작한 돌판이다. 한 면에는 왕 묘지(墓誌)를 새기고, 다른 면에는 간지도(干支圖)를 새겼다. 돌판은 각섬석질의 암석이다. 전체 형태는 완전하나 간지도가 새겨진 면의 우측 하단 모서리 부분이 일부 결실되었다. 돌판 정중앙에서 약간 위쪽에 구멍이 하나 뚫려 있다. 
묘지석 글자는 총 53자이다. 돌판에 선을 음각하여 단축방향으로 5~6㎝ 폭의 세장한 칸을 7개 만들고, 한 행에 8~10자를 6개 칸에 음각했다. 왕의 묘지석 명문은 다음과 같다. ""寧東大將軍百濟斯/麻王年六十二歲癸/卯年五月丙戌朔七/日壬辰崩到乙巳年八月/癸酉朔十二日甲申安厝/登冠大墓立志如左/了(영동대장군 백제 사마왕께서 나이가 62세 되는 계묘년(523년) 5월 7일에 돌아가셨다. 을사년(525년) 8월 12일에 안장하여 대묘에 올려 모시며 기록하기를 이와 같이 한다)"" 글자는 모두 뚜렷하지만, 7행의 첫 글자[了]에 대해서는 다양한 이견이 있다. 무령왕의 묘지석은 우리나라 묘지석 중 가장 오래된 것으로 삼국시대 왕릉 중 피장자의 신원이 확인된 유일한 무덤이다. 
돌판의 다른 면에는 방위를 나타내는 간지를 새겨놓았다. 돌판 가장자리를 따라 음각의 구획선을 긋고 이 선과 중첩하여 방위를 나타내는 십간(十干), 십이지(十二支)를 새겼다. 특이한 점으로 서쪽에 해당하는 장축 한 변에 간지를 쓰지 않고 비워 두었다. 북쪽에 해당하는 곳(돌판 단축변)에서부터 시계방향으로 ""亥壬子癸丑 己 寅甲卯乙辰 戊 巳丙午丁未(해임자계축 기 인갑묘을진 무 사병오정미)""라고 새겼다.
참고자료: 文化公報部 文化財管理局, 1973, 『武寧王陵 發掘調査報告書』, pp.46~47, 圖版 11, 76~77.
국립공주박물관, 2018, 『武寧王陵 新報告書 Ⅳ』 - 출토유물1(옥석류) -, pp.20~26, 도판 13.
국립공주박물관, 2009, 『武寧王陵 新報告書 Ⅰ』 - 墳墓(1) -, pp.78~79.
국립공주박물관, 2021, 『무령왕릉 발굴 50년』1971-2021 새로운 반세기를 준비하며, pp.55, 66.
국립공주박물관, 2023, 『1500년 전 백제 무령왕의 장례』, pp.34~35, 60~61.",https://www.emuseum.go.kr/detail?relicId=PS0100100400700000200000
무령3,묘지석(왕비)/매지권(왕),"소장품번호: 무령3
명칭: 묘지석(왕비)/매지권(왕)
이명칭: 국보 무령왕릉 지석, 武寧王陵 誌石, 墓誌石(王妃)/買地券(王), 지석, 誌石, 무령왕비지석, 武寧王妃誌石
영문명칭: Epitaph plaque(Queen)/Land purchase records(King)
실측치: 가로:41.5-세로:35.2-두께:5.2
수량: 1
보관처: 기관-국립1-공주
특징: 묘지석(왕비)/매지권(왕)은 연도의 중앙에 배치된 진묘수(무령1) 앞쪽에 묘지석(왕)/간지도(무령2)와 나란히 출토되었다. 묘실에서 볼 때 글자가 바로 보이도록 놓았다. 전체 모형은 직사각형의 납작한 돌판이다. 한 면에는 왕비의 묘지(墓誌)가 새겨져 있고, 다른 면에 왕의 매지권(買地券)이 음각되었다. 돌판은 각섬석질의 암석이다. 형태는 완전하나 표면이 부분적으로 오염, 부식되었다. 돌판 정중앙에서 약간 아래쪽에 구멍이 하나 뚫려 있다. 
발견 당시 왕의 매지권 면이 아래로, 왕비의 묘지 면이 위로 향해 있어 왕비 묘지석은 본래 왕의 매지권 돌판 뒷면을 사용한 것으로 추정된다. 왕비 묘지석 위에는 오수전(五銖錢)(무령4~7) 한 꾸러미가 놓여 있었다. 왕비 묘지석은 선각으로 2.5~2.8cm 폭의 세장한 칸을 13행 구획하고, 한 행당 12~13자를 새겨 총 4행 42자의 글자를 새겼다. 글자 크기는 무령왕의 묘지석, 매지권, 간지도보다 작고 글씨체도 차이가 있다. 왕비 묘지석 명문은 다음과 같다. ""丙午年十一月百濟國王太妃壽/終居喪在酉地己酉年二月癸/未朔十二日甲午改葬還大墓立/志如左(병오년(526년) 11월 백제국왕태비가 천명대로 살다 돌아가셨다. 서쪽의 땅에서 (빈을 설치해) 삼년상을 지내고 기유년(529년) 2월 12일에 다시 대묘로 옮기어 장사 지내며 기록하기를 다음과 같다.)"" 
무령왕의 매지권은 돌판 표면에 7줄의 세로줄을 구획하고, 한 행당 4~13자를 새겨 총 6행 58자를 새겼다. 무령왕이 토지신(土地神)에게 땅을 매입하고 그것을 증명하는 내용을 담고 있다. 매지권 명문은 다음과 같다. ""錢一万文右一件/乙巳年八月十二日寧東大將軍/百濟斯麻王以前件錢詢土王/土伯土父母土下衆官二千石/買申地爲墓故立券爲明/不從律令(돈 1만매, 이상 일건. 을사년(525년) 8월 12일 영동대장군 백제 사마왕은 상기의 금액을 토왕, 토백, 토부모, 토하중관 이천석의 여러 관리에게 문의하기를 남서방향의 토지를 매입하여 능묘를 만들었기에 문서를 작성하여 증명을 삼으니, 율령을 따르지 않는다.)"" 묘지석의 글자들은 모두 뚜렷하지만, 3행 10번째 글자[詢]에 대해서는 다양한 이견이 있다.
참고자료: 文化公報部 文化財管理局, 1973, 『武寧王陵 發掘調査報告書』, pp.46~47, 圖版 12, 78~79.
국립공주박물관, 2018, 『武寧王陵 新報告書 Ⅳ』 - 출토유물1(옥석류) -, pp.20~26, 도판 13.
국립공주박물관, 2009, 『武寧王陵 新報告書 Ⅰ』 - 墳墓(1) -, pp.78~79.
국립공주박물관, 2021, 『무령왕릉 발굴 50년』1971-2021 새로운 반세기를 준비하며, pp.55, 66.",https://www.emuseum.go.kr/detail?relicId=PS0100100400700000300000
무령4,철 오수전,"소장품번호: 무령4
명칭: 철 오수전
이명칭: 철제오수전, 鐵製五銖錢
영문명칭: Chinese wuzhu coins
실측치: 지름:2.45-지름:2.45-지름:2.45-지름:2.40-지름:2.50-지름:2.30-지름:2.35-지름:2.30-지름:2.45-지름:2.45-지름:2.50-지름:2.40-지름:2.45-지름:2.45-지름:2.35-지름:2.40-지름:2.45-지름:2.60-지름:2.40-지름:2.40
수량: 20
보관처: 수장고-1수장고-66장
특징: 철 오수전(무령4~무령7) 중 20점에 해당한다. 완형에 가까운 형태로 남아있는 것이 5점(20-2, 5, 10~12), 산화 부식되어 가장자리가 결실된 것이 8점(20-1, 4, 6, 13, 16, 18~20), 형태가 변형된 것이 7점(20-3, 7~9, 14~15, 17)이다. 철 오수전(무령4~무령7)은 연도 중앙 묘지석(왕비)/매지권(왕)(무령3) 위에 끈으로 꿰어진 형태로 출토되었다. 평면은 원형이며 중앙부에 오수전을 꿰기 위한 방형의 구멍이 뚫려 있다. 오수전 앞·뒷면 가장자리에는 원형, 중앙부 구멍 주변으로는 방형의 띠가 한 줄 둘러있다. 앞면에는 오른쪽에는 '五' 왼쪽에는 '銖'가 주조되었다. 뒷면에는 방형의 모서리에서 대각선으로 띠가 형성되어 있다. 주조 후에 다시 단조하거나 별도의 가공을 하지 않고 그대로 사용하였다.
참고자료: 文化公報部 文化財管理局, 1973, 『武寧王陵 發掘調査報告書』, p.41, 圖版 68-3.
국립공주박물관, 2021, 『武寧王陵 新報告書 Ⅶ』 - 출토유물4(금속공예품 및 도자기) -, pp.435~449, 도판 187-1~20. 
국립공주박물관, 2021, 『무령왕릉 발굴 50년』 1971-2021 새로운 반세기를 준비하며, p.111.",https://www.emuseum.go.kr/detail?relicId=PS0100100400700000400000
무령5,철 오수전,"소장품번호: 무령5
명칭: 철 오수전
이명칭: 철제오수전, 鐵製五銖錢
영문명칭: Chinese wuzhu coins
실측치: 지름:2.35-지름:2.35-지름:2.45-지름:2.40-지름:2.40-지름:2.60-지름:2.50-지름:2.60-지름:2.70-지름:2.45-지름:2.35-지름:2.50-지름:2.55-지름:2.85-지름:3.20-지름:2.45-지름:2.45-지름:2.40-지름:2.25-지름:2.50
수량: 20
보관처: 수장고-1수장고-66장
특징: 철 오수전(무령4~무령7) 중 20점에 해당한다. 산화 부식되어 가장자리가 결실된 것이 3점(20-1~2, 7), 형태가 변형된 것이 17점(20-3~6, 8~20)이다. 철 오수전(무령4~무령7)은 연도 중앙 묘지석(왕비)/매지권(왕)(무령3) 위에 끈으로 꿰어진 형태로 출토되었다. 평면은 원형이며 중앙부에 오수전을 꿰기 위한 방형의 구멍이 뚫려 있다. 오수전 앞·뒷면 가장자리에는 원형, 중앙부 구멍 주변으로는 방형의 띠가 한 줄 둘러있다. 앞면에는 오른쪽에는 '五' 왼쪽에는 '銖'가 주조되었다. 뒷면에는 방형의 모서리에서 대각선으로 띠가 형성되어 있다. 주조 후에 다시 단조하거나 별도의 가공을 하지 않고 그대로 사용하였다.
참고자료: 文化公報部 文化財管理局, 1973, 『武寧王陵 發掘調査報告書』, p.41, 圖版 68-3.
국립공주박물관, 2021, 『武寧王陵 新報告書 Ⅶ』 - 출토유물4(금속공예품 및 도자기) -, pp.435~449, 도판 188-21~40. 
국립공주박물관, 2021, 『무령왕릉 발굴 50년』 1971-2021 새로운 반세기를 준비하며, p.111.",https://www.emuseum.go.kr/detail?relicId=PS0100100400700000500000
무령6,철 오수전,"소장품번호: 무령6
명칭: 철 오수전
이명칭: 철제오수전, 鐵製五銖錢
영문명칭: Chinese wuzhu coins
실측치: 지름:2.40-지름:2.45-지름:2.30-지름:2.50-지름:2.55-지름:2.45-지름:2.55-지름:2.50-지름:2.50-지름:2.30-지름:2.45-현재길이:2.85/2.60-지름:2.40-지름:2.40-지름:2.25-현재길이:2.20-지름:2.25-현재길이:1.00-현재길이:2.30-지름:2.30
수량: 20
보관처: 수장고-1수장고-66장
특징: 철 오수전(무령4~무령7) 중 20점에 해당한다. 완형에 가까운 형태로 남아있는 것이 2점(20-1, 11), 산화 부식되어 가장자리가 결실된 것이 3점(20-9, 16, 19), 형태가 변형된 것이 11점(20-2~8, 10, 13~15)이다. 부식이 심하게 진행되어 일부가 결실된 것 3점(20-17~18, 20)과 2개체가 붙어 있는 것이 1점(20-12) 이다. 철 오수전(무령4~무령7)은 연도 중앙 묘지석(왕비)/매지권(왕)(무령3) 위에 끈으로 꿰어진 형태로 출토되었다. 대부분 평면은 원형(20-1~11, 13~14)이며 일부 부정형(20-12, 15~20)이 있다. 중앙부에 오수전을 꿰기 위한 방형의 구멍이 뚫려 있다. 오수전 앞·뒷면 가장자리에는 원형, 중앙부 구멍 주변으로는 방형의 띠가 한 줄 둘러있다. 앞면에는 오른쪽에서 '五' 왼쪽에는 '銖'가 주조되었다. 뒷면에는 방형의 모서리에서 대각선으로 띠가 형성되어 있다. 주조 후에 다시 단조하거나 별도의 가공을 하지 않고 그대로 사용하였다.
참고자료: 文化公報部 文化財管理局, 1973, 『武寧王陵 發掘調査報告書』, p.41, 圖版 68-3.
국립공주박물관, 2021, 『武寧王陵 新報告書 Ⅶ』 - 출토유물4(금속공예품 및 도자기) -, pp.435~449, 도판 189-41~60. 
국립공주박물관, 2021, 『무령왕릉 발굴 50년』 1971-2021 새로운 반세기를 준비하며, p.111.",https://www.emuseum.go.kr/detail?relicId=PS0100100400700000600000
무령7,철 오수전,"소장품번호: 무령7
명칭: 철 오수전
이명칭: 철제오수전, 鐵製五銖錢
영문명칭: Chinese wuzhu coins
실측치: 현재길이:0.90-현재길이:0.90-현재길이:0.80-지름:2.30-현재길이:1.05-현재길이:1.00-지름:2.94-지름:2.52-현재길이:0.90-현재길이:1.85-현재길이:1.20-현재길이:0.90-현재길이:1.10-현재길이:1.00-현재길이:2.99-현재길이:0.95-현재길이:0.85-현재길이:1.10-현재길이:1.10-현재길이:1.20
수량: 20
보관처: 수장고-1수장고-66장
특징: 철 오수전(무령4~무령7) 중 20점에 해당한다. 중앙 구멍의 형태가 남아있는 것이 15점(20-1~6, 9~14, 16~18), 2개체로 남아있는 것이 3점(20-7~8, 15), 일부 파편만 남아있는 것이 2점(20-19~20)이다. 철 오수전(무령4~무령7)은 연도 중앙 묘지석(왕비)/매지권(왕)(무령3) 위에 끈으로 꿰어진 형태로 출토되었다. 평면은 부정형이다. 오수전 앞·뒷면 가장자리에는 원형, 중앙부 구멍 주변으로는 방형의 띠가 한 줄 둘러있다. 앞면에 주조된 명문은 마모가 심해 거의 보이지 않는다. 주조 후에 다시 단조하거나 별도의 가공을 하지 않고 그대로 사용하였다.
참고자료: 文化公報部 文化財管理局, 1973, 『武寧王陵 發掘調査報告書』, p.41, 圖版 68-3.
국립공주박물관, 2021, 『武寧王陵 新報告書 Ⅶ』 - 출토유물4(금속공예품 및 도자기) -, pp.435~449, 도판 190-61~80. 
국립공주박물관, 2021, 『무령왕릉 발굴 50년』 1971-2021 새로운 반세기를 준비하며, p.111.",https://www.emuseum.go.kr/detail?relicId=PS0100100400700000700000
무령8,나무 널(왕),"소장품번호: 무령8
명칭: 나무 널(왕)
이명칭: 목관(왕), 木棺(王), 무령왕목관, 武寧王木棺
영문명칭: Wooden coffin(King)
실측치: 현재길이:248.9~257.9(뚜껑판)-현재길이:17.7~245.3(장측판)-현재길이:45.7~65.8(단측판)
수량: 1
보관처: 기관-국립1-공주
특징: 나무 널(왕)은 널방의 관대 위에서 나무 널(왕비)(무령9)과 함께 발견되었다. 발견 당시에는 널방 대부분의 공간에 관재(棺材)들이 뒤섞여 있었다. 왕과 왕비의 나무 널은 모두 무너져 내려 장측판(長側板)은 널길 쪽으로 밀려나 있었고 단측판(短側板)은 각각 널방 남쪽과 북쪽에 쓰러져 있었다. 서벽 쪽 여덟 번째부터 열두 번째까지를 왕 나무 널로 분류하였다. 부속구인 마구리 장식은 널길과 널방이 맞닿은 부분과 널방의 북쪽 끝부분에서 흩어져 있었다. 
왕의 나무 널은 13개 판으로 수종은 금송이다. 뚜껑판[蓋板] 5개, 장측판 4개, 단측판 4개로 구성된다. 뚜껑판 중앙부 단면은 육각형, 1~2단 단면은 약간 오목한 세장방형, 장측판과 단측판 단면은 세장방형이다. 단측판을 정면으로 보았을 때 2단 지붕 모양을 하고 있다. 
표면에는 꽃 모양 장식 널 고리가 양측 장측판에 각 2개, 전후 단측판에 각 1개씩 부착되어 있다. 널 고리는 고정 못에 2개의 꽃 모양 좌금구를 끼운 후 외면에서 내면으로 관통시켜 철제원형 좌금구를 끼워 넣고, 촉부 양 끝을 상·하로 벌려 고정하였다. 고정 못에 장식된 꽃 모양 좌금구는 은으로 장식한 철제 좌금구[鐵地銀裝] 위쪽에 금동으로 장식한 철제 좌금구[鐵地金銅裝]를 겹친 형태로 단면이 볼록하여 부피감이 있다. 널 못은 뚜껑판에 8개, 좌우 장측판에 각 1개로 총 10개가 박혀 있다. 철제 못 두부에 금판을 씌우고 동제 좌금구에 은판을 씌워 결합하였다. 각 판에는 나무 널을 조립하기 위한 여러 홈이 확인된다. 내면에는 소형 금동 못과 고정용 나무와 나무못이 확인되어 널의 결합 방식을 확인 할 수 있다. 
마구리 장식은 육각형 2점, 짧은 직사각형 7점, 긴 직사각형 5점이 확인되었다. 육각형 마구리 장식은 목관 뚜껑판 중앙부에, 짧은 직사각형 마구리 장식은 뚜껑판 1단과 2단 부분에 긴 직사각형 마구리 장식은 장측판 측면과 바닥 면에 부착하여 장식했다. 편백 나무를 널판의 단면과 같은 모양으로 깎아 다듬고 그 위에 은판을 씌워 못으로 고정하였다. 표면에는 옻칠하였으며 일부에 직물 흔적이 남아있다. 뒷면은 한쪽 면이 터진 'ㄷ'자형이다.
참고자료: 文化公報部 文化財管理局, 1973, 『武寧王陵 發掘調査報告書』, pp.16~17, 41~42  圖版 28~29, 69-1~2.
국립공주박물관, 2020, 『武寧王陵 新報告書 Ⅵ』 - 출토유물3(목재 및 관 부속구) -, pp.24~62, 도판 12~33.
국립공주박물관, 2020, 『武寧王陵 新報告書 Ⅵ』 - 출토유물3(목재 및 관 부속구) -, pp.99~111, 도판 59-62, 68.
국립공주박물관, 2021, 『무령왕릉 발굴 50년』1971-2021 새로운 반세기를 준비하며, pp.142~146.
국립공주박물관, 2023, 『1500년 전 백제 무령왕의 장례』, pp.93~94.",https://www.emuseum.go.kr/detail?relicId=PS0100100400700000800000
무령9,나무 널(왕비),"소장품번호: 무령9
명칭: 나무 널(왕비)
이명칭: 목관(왕비), 木棺(王妃), 무령왕비목관, 武寧王妃木棺
영문명칭: Wooden coffin(Queen)
실측치: 현재길이:241.7~249.5(뚜껑판)-현재길이:223.1~235.1(장측판)-현재길이:31.4~62.6(단측판)
수량: 1
보관처: 기관-국립1-공주
특징: 나무 널(왕비)은 널방의 관대 위에서 나무 널(왕)(무령8)과 함께 발견되었다. 발견 당시에는 널방 대부분의 공간에 관재(棺材)들이 뒤섞여 있었다. 왕과 왕비의 나무 널은 모두 무너져 내려 장측판(長側板)은 널길 쪽으로 밀려나 있었고 단측판(短側板)은 각각 널방 남쪽과 북쪽에 쓰러져 있었다. 서벽 쪽 첫 번째 판부터 일곱 번째 판까지를 왕비의 나무 널로 분류하였다. 왕비의 나무 널은 9개의 판으로 제작되었으며 수종은 금송이다. 뚜껑판[蓋板] 3개, 장측판 4개, 단측판 2개로 구성되어 있다. 뚜껑판 중앙부 단면은 육각형이며, 좌측과 우측은 약간 오목한 세장방형, 장측판과 단측판 단면은 세장방형이다. 단측판을 정면에서 보았을 때 1단 지붕 모양을 하고 있다. 
표면에는 꽃 모양 장식 널 고리가 양측 장측판에 각 2개, 전후 단측판에 각 1개씩 부착되어 있다. 
널 고리는 고정 못에 2개의 꽃 모양 좌금구를 끼운 후 외면에서 내면으로 관통시켜 동제 원형 좌금구를 끼워 넣은 다음, 촉부 양 끝을 상·하로 벌려 고정하였다. 고정 못에 장식된 꽃 모양 좌금구는 은으로 장식한 동제 좌금구[銅地銀裝] 위쪽에 금동으로 장식한 철제 좌금구[鐵地金銅裝]를 겹친 형태이다. 꽃 모양의 널 못은 뚜껑판 중앙부에 1개, 좌우 장측판에 각 1개로 총 3개가 박혀 있다. 철제 못 두부에 은을 씌워 장식했으며, 일부 널못 두부에는 직물 흔적이 남아있다. 각 판에는 나무 널을 조립하기 위한 여러 홈을 내어 확인된다. 뚜껑판 양측 내면에는 끌을 사용하여 가공한 흔적이 남아있고, 우측 후면에는 장방형 나무로 수리한 흔적이 남아있다. 내면에는 소형 금동 못과 고정용 나무와 나무못이 확인되어 널의 결합 방식을 확인 할 수 있다.
참고자료: 국립공주박물관, 2020, 『武寧王陵 新報告書 Ⅵ』 - 출토유물3(목재 및 관 부속구) -,  pp.24~25, 63~89, 도판 34~49.
국립공주박물관, 2009, 『武寧王陵 新報告書 Ⅰ』 - 墳墓(1) -, pp.87.
국립공주박물관, 2021, 『무령왕릉 발굴 50년』1971-2021 새로운 반세기를 준비하며, pp.142, 147~149.",https://www.emuseum.go.kr/detail?relicId=PS0100100400700000900000
무령10,시상(왕비),"소장품번호: 무령10
명칭: 시상(왕비)
이명칭: 屍床(王妃)
영문명칭: Lining board of wooden coffin(Queen)
실측치: 현재길이:186.3(좌판)-현재너비:10.9(좌판)-현재길이:217.9(중판)-현재너비:19.2(중판)-현재길이:216.6(우판)-현재너비:10.3(우판)
수량: 1
보관처: 수장고-1수장고-바닥
특징: 시상(왕비)은 널방의 나무 널(왕비)(무령9) 아래쪽에서 발견되었다. 시상은 시신을 안치할 때 사용하는 판이다. 왕비 시상은 5개의 판으로 직사각형 받침판 3개와 이를 고정하는 짧은 고정목 2개로 구성되어 있다. 수종은 나무 널(무령8~9)과 같은 금송이며 전체를 옻칠하였다. 표면에서 부분적으로 탄화된 흔적이 발견된다. 목재 간 뒤틀림을 방지하기 위해 좌, 우 받침판과 고정목은 끝을 비스듬히 잘라 물리게 결합하고, 중앙판과 고정목은 평평하게 잘라 물리게 결합하였다. 그리고 구조 강화를 위해 못 머리가 원형인 철제 못으로 고정하였다. 시상에 대한 엑스선 조사로 총 9개의 못을 박은 흔적이 확인되었다. 상부 고임목과 받침대에 각 1개씩 모두 3개, 하부 고임목과 받침대에 각 2개씩 모두 6개이다. 좌측 받침판 상단부에서 못 신부가 확인되어 시상 너비를 추정할 수 있었다. 받침판의 상부 42cm와 하부 40~46cm에서 일정한 간격으로 철제 못이 확인된다. 못 위치가 비교적 일정하고, 좌판 아랫면에 목재 흔적이 남아있는 것으로 보아 시상 아랫면에 받침목을 받쳤을 가능성이 있다. 받침판과 고정목을 결합하기 위해 철제 못을 사용하였는데 상부에 각 1개씩, 하부에는 중판 1개, 좌판에 2개의 못이 박혀 있다. 
받침대 윗면 상부에는 청동이나 금동으로 만든 부장품으로 인해 생긴 청동 부식물이 붙어 있고, 좌측 받침판 아랫면에는 부장품에 눌려서 생긴 것으로 추정되는 원형 자국 2개가 확인되었다. 받침판 못 주변에서 두 종류의 직물 흔적이 있다. 직물은 날실[經絲]과 씨실[緯絲]을 한 올씩 교차하여 짠 평직물과 두 올의 실을 꼬아 만든 꼬임사로 확인되었다. 부분적으로 탄화흔이 확인된다. 
고정목은 결합부에 원형두 못이 각각 1개씩 확인되며 결합면을 제외한 3면에서 옻칠 흔적이 확인된다.
참고자료: 국립공주박물관, 2020, 『武寧王陵 新報告書 Ⅵ』 - 출토유물3(목재 및 관 부속구) -, pp.92~97, 도판 53.
국립공주박물관, 2021, 『무령왕릉 발굴 50년』1971-2021 새로운 반세기를 준비하며, pp.152~153.",https://www.emuseum.go.kr/detail?relicId=PS0100100400700001000000
